LED #,LED PWM (%),LED current (%),Duration (s)
2,100,49.93716816,0.002
2,100,49.87433643,0.002
2,100,49.81150489,0.002
2,100,49.74867365,0.002
2,100,49.6858428,0.002
2,100,49.62301245,0.002
2,100,49.5601827,0.002
2,100,49.49735364,0.002
2,100,49.43452538,0.002
2,100,49.37169801,0.002
2,100,49.30887163,0.002
2,100,49.24604634,0.002
2,100,49.18322224,0.002
2,100,49.12039943,0.002
2,100,49.05757801,0.002
2,100,48.99475808,0.002
2,100,48.93193974,0.002
2,100,48.86912308,0.002
2,100,48.80630821,0.002
2,100,48.74349523,0.002
2,100,48.68068423,0.002
2,100,48.61787531,0.002
2,100,48.55506857,0.002
2,100,48.49226412,0.002
2,100,48.42946205,0.002
2,100,48.36666245,0.002
2,100,48.30386544,0.002
2,100,48.2410711,0.002
2,100,48.17827955,0.002
2,100,48.11549087,0.002
2,100,48.05270516,0.002
2,100,47.98992253,0.002
2,100,47.92714308,0.002
2,100,47.86436689,0.002
2,100,47.80159408,0.002
2,100,47.73882475,0.002
2,100,47.67605898,0.002
2,100,47.61329688,0.002
2,100,47.55053855,0.002
2,100,47.48778409,0.002
2,100,47.4250336,0.002
2,100,47.36228717,0.002
2,100,47.29954491,0.002
2,100,47.23680691,0.002
2,100,47.17407328,0.002
2,100,47.1113441,0.002
2,100,47.04861949,0.002
2,100,46.98589954,0.002
2,100,46.92318435,0.002
2,100,46.86047402,0.002
2,100,46.79776865,0.002
2,100,46.73506833,0.002
2,100,46.67237317,0.002
2,100,46.60968327,0.002
2,100,46.54699871,0.002
2,100,46.48431961,0.002
2,100,46.42164607,0.002
2,100,46.35897817,0.002
2,100,46.29631602,0.002
2,100,46.23365972,0.002
2,100,46.17100937,0.002
2,100,46.10836507,0.002
2,100,46.04572691,0.002
2,100,45.98309499,0.002
2,100,45.92046942,0.002
2,100,45.85785029,0.002
2,100,45.7952377,0.002
2,100,45.73263175,0.002
2,100,45.67003254,0.002
2,100,45.60744017,0.002
2,100,45.54485474,0.002
2,100,45.48227634,0.002
2,100,45.41970507,0.002
2,100,45.35714104,0.002
2,100,45.29458433,0.002
2,100,45.23203506,0.002
2,100,45.16949332,0.002
2,100,45.10695921,0.002
2,100,45.04443282,0.002
2,100,44.98191426,0.002
2,100,44.91940362,0.002
2,100,44.85690101,0.002
2,100,44.79440651,0.002
2,100,44.73192024,0.002
2,100,44.66944229,0.002
2,100,44.60697275,0.002
2,100,44.54451173,0.002
